SVI Theme: Household Composition & Disability; Overall Household Composition & Disability (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Household Composition & Disability-2018-Percentile
20155,Reno County,Kansas,9.4,0.5839
20191,Sumner County,Kansas,9.4,0.6221
21191,Pendleton County,Kentucky,9.4,0.6476
24047,Worcester County,Maryland,9.4,0.2611
26159,Van Buren County,Michigan,9.4,0.531
31087,Hitchcock County,Nebraska,9.4,0.8188
35013,Doña Ana County,New Mexico,9.4,0.6874
35039,Rio Arriba County,New Mexico,9.4,0.8758
36003,Allegany County,New York,9.4,0.4215
36047,Kings County,New York,9.4,0.1738
36051,Livingston County,New York,9.4,0.0761
36105,Sullivan County,New York,9.4,0.6543
37025,Cabarrus County,North Carolina,9.4,0.3578
39047,Fayette County,Ohio,9.4,0.8911
39089,Licking County,Ohio,9.4,0.4842
39111,Monroe County,Ohio,9.4,0.8364
39175,Wyandot County,Ohio,9.4,0.6603
40009,Beckham County,Oklahoma,9.4,0.4632
40071,Kay County,Oklahoma,9.4,0.9752
40075,Kiowa County,Oklahoma,9.4,0.8828
41009,Columbia County,Oregon,9.4,0.5161
42125,Washington County,Pennsylvania,9.4,0.164
46013,Brown County,South Dakota,9.4,0.3123
47051,Franklin County,Tennessee,9.4,0.5158
47121,Meigs County,Tennessee,9.4,0.5263
51047,Culpeper County,Virginia,9.4,0.3085
51099,King George County,Virginia,9.4,0.1038
51101,King William County,Virginia,9.4,0.1732
51167,Russell County,Virginia,9.4,0.4238
51171,Shenandoah County,Virginia,9.4,0.4444
54031,Hardy County,West Virginia,9.4,0.3652
54083,Randolph County,West Virginia,9.4,0.3578
55087,Outagamie County,Wisconsin,9.4,0.0993
01001,Autauga County,Alabama,9.5,0.581
01037,Coosa County,Alabama,9.5,0.3836
01059,Franklin County,Alabama,9.5,0.6622
04027,Yuma County,Arizona,9.5,0.7619
05129,Searcy County,Arkansas,9.5,0.5903
05149,Yell County,Arkansas,9.5,0.9742
06025,Imperial County,California,9.5,0.7759
10003,New Castle County,Delaware,9.5,0.106
12111,St. Lucie County,Florida,9.5,0.6122
12131,Walton County,Florida,9.5,0.3126
13075,Cook County,Georgia,9.5,0.8918
13255,Spalding County,Georgia,9.5,0.9029
16031,Cassia County,Idaho,9.5,0.595
17029,Coles County,Illinois,9.5,0.2209
17091,Kankakee County,Illinois,9.5,0.5221
18067,Howard County,Indiana,9.5,0.8561
18141,St. Joseph County,Indiana,9.5,0.4715
18163,Vanderburgh County,Indiana,9.5,0.4597
19051,Davis County,Iowa,9.5,0.3251
19109,Kossuth County,Iowa,9.5,0.6644
21001,Adair County,Kentucky,9.5,0.205
21021,Boyle County,Kentucky,9.5,0.3346
21229,Washington County,Kentucky,9.5,0.4785
22015,Bossier Parish,Louisiana,9.5,0.4718
22077,Pointe Coupee Parish,Louisiana,9.5,0.9548
22099,St. Martin Parish,Louisiana,9.5,0.7297
22121,West Baton Rouge Parish,Louisiana,9.5,0.6835
22127,Winn Parish,Louisiana,9.5,0.7829
26077,Kalamazoo County,Michigan,9.5,0.1496
26133,Osceola County,Michigan,9.5,0.9016
28075,Lauderdale County,Mississippi,9.5,0.921
28119,Quitman County,Mississippi,9.5,0.8924
28121,Rankin County,Mississippi,9.5,0.2209
29111,Lewis County,Missouri,9.5,0.3079
30017,Custer County,Montana,9.5,0.6746
30087,Rosebud County,Montana,9.5,0.4298
31013,Box Butte County,Nebraska,9.5,0.4763
31055,Douglas County,Nebraska,9.5,0.3079
34015,Gloucester County,New Jersey,9.5,0.0793
35033,Mora County,New Mexico,9.5,0.5794
36019,Clinton County,New York,9.5,0.2006
37113,Macon County,North Carolina,9.5,0.4002
37157,Rockingham County,North Carolina,9.5,0.5852
37171,Surry County,North Carolina,9.5,0.5415
38061,Mountrail County,North Dakota,9.5,0.2184
39015,Brown County,Ohio,9.5,0.7284
39017,Butler County,Ohio,9.5,0.2776
39059,Guernsey County,Ohio,9.5,0.8669
39129,Pickaway County,Ohio,9.5,0.3104
40099,Murray County,Oklahoma,9.5,0.9271
41059,Umatilla County,Oregon,9.5,0.8628
41061,Union County,Oregon,9.5,0.7418
42021,Cambria County,Pennsylvania,9.5,0.6224
42041,Cumberland County,Pennsylvania,9.5,0.0605
42107,Schuylkill County,Pennsylvania,9.5,0.5667
48373,Polk County,Texas,9.5,0.8052
49015,Emery County,Utah,9.5,0.4686
51105,Lee County,Virginia,9.5,0.5275
51121,Montgomery County,Virginia,9.5,0.0029
51131,Northampton County,Virginia,9.5,0.5632
51163,Rockbridge County,Virginia,9.5,0.1375
51810,Virginia Beach City,Virginia,9.5,0.1566
