SVI Theme: Minority Status & Language; Overall Minority Status & Language (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Minority Status & Language-2018-Percentile
13083,Dade County,Georgia,7.8,0.1897
13085,Dawson County,Georgia,7.8,0.3419
13133,Greene County,Georgia,7.8,0.7552
13147,Hart County,Georgia,7.8,0.6164
13161,Jeff Davis County,Georgia,7.8,0.7892
13221,Oglethorpe County,Georgia,7.8,0.7354
13307,Webster County,Georgia,7.8,0.8621
16075,Payette County,Idaho,7.8,0.7596
17077,Jackson County,Illinois,7.8,0.6008
18015,Carroll County,Indiana,7.8,0.2814
18121,Parke County,Indiana,7.8,0.291
18131,Pulaski County,Indiana,7.8,0.0471
19005,Allamakee County,Iowa,7.8,0.5594
19111,Lee County,Iowa,7.8,0.2127
19115,Louisa County,Iowa,7.8,0.8176
20029,Cloud County,Kansas,7.8,0.1633
20033,Comanche County,Kansas,7.8,0.1146
20121,Miami County,Kansas,7.8,0.1229
20171,Scott County,Kansas,7.8,0.7787
21041,Carroll County,Kentucky,7.8,0.4731
21141,Logan County,Kentucky,7.8,0.3598
21211,Shelby County,Kentucky,7.8,0.7408
21227,Warren County,Kentucky,7.8,0.7606
22043,Grant Parish,Louisiana,7.8,0.6826
22113,Vermilion Parish,Louisiana,7.8,0.702
26059,Hillsdale County,Michigan,7.8,0.2283
26125,Oakland County,Michigan,7.8,0.7593
27003,Anoka County,Minnesota,7.8,0.6663
27059,Isanti County,Minnesota,7.8,0.0977
27085,Mcleod County,Minnesota,7.8,0.4238
29119,Mcdonald County,Missouri,7.8,0.8052
29179,Reynolds County,Missouri,7.8,0.0637
29211,Sullivan County,Missouri,7.8,0.8093
30049,Lewis And Clark County,Montana,7.8,0.1541
30109,Wibaux County,Montana,7.8,0.3852
31061,Franklin County,Nebraska,7.8,0.1579
31077,Greeley County,Nebraska,7.8,0.0764
31089,Holt County,Nebraska,7.8,0.3407
31095,Jefferson County,Nebraska,7.8,0.4432
31167,Stanton County,Nebraska,7.8,0.4909
31179,Wayne County,Nebraska,7.8,0.3932
32013,Humboldt County,Nevada,7.8,0.8695
33019,Sullivan County,New Hampshire,7.8,0.099
34037,Sussex County,New Jersey,7.8,0.4992
38057,Mercer County,North Dakota,7.8,0.4514
38063,Nelson County,North Dakota,7.8,0.014
39005,Ashland County,Ohio,7.8,0.3117
40061,Haskell County,Oklahoma,7.8,0.5973
40113,Osage County,Oklahoma,7.8,0.4107
41053,Polk County,Oregon,7.8,0.7676
42045,Delaware County,Pennsylvania,7.8,0.7921
42083,Mckean County,Pennsylvania,7.8,0.1971
46003,Aurora County,South Dakota,7.8,0.6406
47033,Crockett County,Tennessee,7.8,0.7256
47057,Grainger County,Tennessee,7.8,0.354
47189,Wilson County,Tennessee,7.8,0.5501
48157,Fort Bend County,Texas,7.8,0.9653
48429,Stephens County,Texas,7.8,0.7552
49027,Millard County,Utah,7.8,0.7249
49041,Sevier County,Utah,7.8,0.4804
51071,Giles County,Virginia,7.8,0.1888
51157,Rappahannock County,Virginia,7.8,0.3528
51177,Spotsylvania County,Virginia,7.8,0.7835
51680,Lynchburg City,Virginia,7.8,0.7695
55081,Monroe County,Wisconsin,7.8,0.4699
56037,Sweetwater County,Wyoming,7.8,0.6718
02016,Aleutians West Census Area,Alaska,7.9,0.986
02090,Fairbanks North Star Borough,Alaska,7.9,0.5747
05097,Montgomery County,Arkansas,7.9,0.4578
12015,Charlotte County,Florida,7.9,0.6434
12073,Leon County,Florida,7.9,0.689
13053,Chattahoochee County,Georgia,7.9,0.6479
13149,Heard County,Georgia,7.9,0.5021
13209,Montgomery County,Georgia,7.9,0.8551
13239,Quitman County,Georgia,7.9,0.7794
13273,Terrell County,Georgia,7.9,0.5199
13309,Wheeler County,Georgia,7.9,0.5065
15007,Kauai County,Hawaii,7.9,0.9503
16079,Shoshone County,Idaho,7.9,0.4371
17023,Clark County,Illinois,7.9,0.0627
17035,Cumberland County,Illinois,7.9,0.0306
17073,Henry County,Illinois,7.9,0.4132
17127,Massac County,Illinois,7.9,0.2509
17137,Morgan County,Illinois,7.9,0.3263
18033,Dekalb County,Indiana,7.9,0.1414
18073,Jasper County,Indiana,7.9,0.3658
18175,Washington County,Indiana,7.9,0.0293
19177,Van Buren County,Iowa,7.9,0.2095
20083,Hodgeman County,Kansas,7.9,0.4836
20115,Marion County,Kansas,7.9,0.1229
20195,Trego County,Kansas,7.9,0.0519
21057,Cumberland County,Kentucky,7.9,0.0984
21075,Fulton County,Kentucky,7.9,0.4101
21151,Madison County,Kentucky,7.9,0.3069
21205,Rowan County,Kentucky,7.9,0.3133
23031,York County,Maine,7.9,0.2451
25013,Hampden County,Massachusetts,7.9,0.8911
26013,Baraga County,Michigan,7.9,0.3512
27025,Chisago County,Minnesota,7.9,0.1086
27057,Hubbard County,Minnesota,7.9,0.2477
27093,Meeker County,Minnesota,7.9,0.3642
27111,Otter Tail County,Minnesota,7.9,0.3881
27147,Steele County,Minnesota,7.9,0.4811
28045,Hancock County,Mississippi,7.9,0.2967
29073,Gasconade County,Missouri,7.9,0.0764
30077,Powell County,Montana,7.9,0.1894
32017,Lincoln County,Nevada,7.9,0.3922
35041,Roosevelt County,New Mexico,7.9,0.9405
36055,Monroe County,New York,7.9,0.8039
36069,Ontario County,New York,7.9,0.4699
36111,Ulster County,New York,7.9,0.673
37053,Currituck County,North Carolina,7.9,0.3047
37175,Transylvania County,North Carolina,7.9,0.4604
39159,Union County,Ohio,7.9,0.2722
40077,Latimer County,Oklahoma,7.9,0.6033
42105,Potter County,Pennsylvania,7.9,0.2327
46057,Hamlin County,South Dakota,7.9,0.4639
47133,Overton County,Tennessee,7.9,0.0729
47173,Union County,Tennessee,7.9,0.0665
48455,Trinity County,Texas,7.9,0.7176
48481,Wharton County,Texas,7.9,0.9516
50009,Essex County,Vermont,7.9,0.2101
51049,Cumberland County,Virginia,7.9,0.46
51051,Dickenson County,Virginia,7.9,0.0064
51141,Patrick County,Virginia,7.9,0.4301
51181,Surry County,Virginia,7.9,0.433
55139,Winnebago County,Wisconsin,7.9,0.467
02050,Bethel Census Area,Alaska,8,0.9452
04013,Maricopa County,Arizona,8,0.9274
05009,Boone County,Arkansas,8,0.0637
05061,Howard County,Arkansas,8,0.8631
05089,Marion County,Arkansas,8,0.0573
06059,Orange County,California,8,0.9723
06089,Shasta County,California,8,0.6202
06115,Yuba County,California,8,0.9303
08123,Weld County,Colorado,8,0.8555
12081,Manatee County,Florida,8,0.8195
13003,Atkinson County,Georgia,8,0.9395
13049,Charlton County,Georgia,8,0.9086
13197,Marion County,Georgia,8,0.8914
13263,Talbot County,Georgia,8,0.6399
16051,Jefferson County,Idaho,8,0.6422
16055,Kootenai County,Idaho,8,0.2585
16087,Washington County,Idaho,8,0.7829
17081,Jefferson County,Illinois,8,0.3254
17099,Lasalle County,Illinois,8,0.5479
17113,Mclean County,Illinois,8,0.582
17115,Macon County,Illinois,8,0.4164
17187,Warren County,Illinois,8,0.6415
18007,Benton County,Indiana,8,0.2572
18105,Monroe County,Indiana,8,0.5756
19087,Henry County,Iowa,8,0.4518
20017,Chase County,Kansas,8,0.2821
20039,Decatur County,Kansas,8,0.3295
20051,Ellis County,Kansas,8,0.4505
20067,Grant County,Kansas,8,0.9449
21003,Allen County,Kentucky,8,0.2716
21061,Edmonson County,Kentucky,8,0.1334
21077,Gallatin County,Kentucky,8,0.3801
25005,Bristol County,Massachusetts,8,0.7682
25023,Plymouth County,Massachusetts,8,0.7195
25027,Worcester County,Massachusetts,8,0.7899
26011,Arenac County,Michigan,8,0.1503
26019,Benzie County,Michigan,8,0.1897
26143,Roscommon County,Michigan,8,0.1414
26147,St. Clair County,Michigan,8,0.2483
27097,Morrison County,Minnesota,8,0.1948
27123,Ramsey County,Minnesota,8,0.9013
27129,Renville County,Minnesota,8,0.4247
28055,Issaquena County,Mississippi,8,0.5594
29007,Audrain County,Missouri,8,0.4438
29015,Benton County,Missouri,8,0.107
29121,Macon County,Missouri,8,0.1859
29145,Newton County,Missouri,8,0.5403
29167,Polk County,Missouri,8,0.1433
31107,Knox County,Nebraska,8,0.4565
31109,Lancaster County,Nebraska,8,0.6988
32007,Elko County,Nevada,8,0.8434
33003,Carroll County,New Hampshire,8,0.0408
33005,Cheshire County,New Hampshire,8,0.2174
34041,Warren County,New Jersey,8,0.7179
35007,Colfax County,New Mexico,8,0.8195
35043,Sandoval County,New Mexico,8,0.8749
36031,Essex County,New York,8,0.3305
36043,Herkimer County,New York,8,0.2693
37007,Anson County,North Carolina,8,0.8383
37029,Camden County,North Carolina,8,0.5234
37087,Haywood County,North Carolina,8,0.3352
39027,Clinton County,Ohio,8,0.1515
39069,Henry County,Ohio,8,0.2267
39169,Wayne County,Ohio,8,0.426
40005,Atoka County,Oklahoma,8,0.4537
40029,Coal County,Oklahoma,8,0.5116
40085,Love County,Oklahoma,8,0.8233
40151,Woods County,Oklahoma,8,0.4349
41039,Lane County,Oregon,8,0.5931
42031,Clarion County,Pennsylvania,8,0.1875
42043,Dauphin County,Pennsylvania,8,0.8134
42109,Snyder County,Pennsylvania,8,0.2512
42115,Susquehanna County,Pennsylvania,8,0.1449
42117,Tioga County,Pennsylvania,8,0.0382
46035,Davison County,South Dakota,8,0.1242
46099,Minnehaha County,South Dakota,8,0.6683
46125,Turner County,South Dakota,8,0.2365
47027,Clay County,Tennessee,8,0.0519
47165,Sumner County,Tennessee,8,0.5457
48209,Hays County,Texas,8,0.9134
48339,Montgomery County,Texas,8,0.8679
48419,Shelby County,Texas,8,0.9089
48451,Tom Green County,Texas,8,0.879
49013,Duchesne County,Utah,8,0.5664
49039,Sanpete County,Utah,8,0.6355
50021,Rutland County,Vermont,8,0.0933
51137,Orange County,Virginia,8,0.6835
53005,Benton County,Washington,8,0.8437
55011,Buffalo County,Wisconsin,8,0.2945
55077,Marquette County,Wisconsin,8,0.2697
55103,Richland County,Wisconsin,8,0.2837
55137,Waushara County,Wisconsin,8,0.5043
56017,Hot Springs County,Wyoming,8,0.1433
05073,Lafayette County,Arkansas,8.1,0.5307
06015,Del Norte County,California,8.1,0.8017
06095,Solano County,California,8.1,0.958
08003,Alamosa County,Colorado,8.1,0.9331
08021,Conejos County,Colorado,8.1,0.9175
08075,Logan County,Colorado,8.1,0.7752
13211,Morgan County,Georgia,8.1,0.6797
13223,Paulding County,Georgia,8.1,0.5899
13243,Randolph County,Georgia,8.1,0.4849
13317,Wilkes County,Georgia,8.1,0.8822
15009,Maui County,Hawaii,8.1,0.9472
17051,Fayette County,Illinois,8.1,0.2677
17089,Kane County,Illinois,8.1,0.9309
17101,Lawrence County,Illinois,8.1,0.4823
17121,Marion County,Illinois,8.1,0.2821
17153,Pulaski County,Illinois,8.1,0.4546
17177,Stephenson County,Illinois,8.1,0.3617
17179,Tazewell County,Illinois,8.1,0.1789
18029,Dearborn County,Indiana,8.1,0.0357
18057,Hamilton County,Indiana,8.1,0.5511
18087,Lagrange County,Indiana,8.1,0.5256
18117,Orange County,Indiana,8.1,0.0933
18143,Scott County,Indiana,8.1,0.049
19037,Chickasaw County,Iowa,8.1,0.3566
19055,Delaware County,Iowa,8.1,0.0293
19165,Shelby County,Iowa,8.1,0.2633
20055,Finney County,Kansas,8.1,0.9726
20069,Gray County,Kansas,8.1,0.7396
20089,Jewell County,Kansas,8.1,0.0933
21055,Crittenden County,Kentucky,8.1,0.219
21157,Marshall County,Kentucky,8.1,0.014
21171,Monroe County,Kentucky,8.1,0.2388
22091,St. Helena Parish,Louisiana,8.1,0.4989
26023,Branch County,Michigan,8.1,0.5193
26119,Montmorency County,Michigan,8.1,0.0401
26161,Washtenaw County,Michigan,8.1,0.7402
27083,Lyon County,Minnesota,8.1,0.6498
27099,Mower County,Minnesota,8.1,0.801
27149,Stevens County,Minnesota,8.1,0.6208
27151,Swift County,Minnesota,8.1,0.4604
27157,Wabasha County,Minnesota,8.1,0.2837
27159,Wadena County,Minnesota,8.1,0.0837
29037,Cass County,Missouri,8.1,0.3989
29051,Cole County,Missouri,8.1,0.3789
29103,Knox County,Missouri,8.1,0.0153
29107,Lafayette County,Missouri,8.1,0.2321
29151,Osage County,Missouri,8.1,0.0232
29205,Shelby County,Missouri,8.1,0.1681
30015,Chouteau County,Montana,8.1,0.6049
30045,Judith Basin County,Montana,8.1,0.0287
31041,Custer County,Nebraska,8.1,0.3282
37103,Jones County,North Carolina,8.1,0.7447
37119,Mecklenburg County,North Carolina,8.1,0.9401
37159,Rowan County,North Carolina,8.1,0.772
37177,Tyrrell County,North Carolina,8.1,0.7338
37179,Union County,North Carolina,8.1,0.7969
38017,Cass County,North Dakota,8.1,0.5438
39091,Logan County,Ohio,8.1,0.3699
40065,Jackson County,Oklahoma,8.1,0.8453
40141,Tillman County,Oklahoma,8.1,0.9112
41007,Clatsop County,Oregon,8.1,0.6285
41051,Multnomah County,Oregon,8.1,0.8567
46019,Butte County,South Dakota,8.1,0.1165
47005,Benton County,Tennessee,8.1,0.1633
47043,Dickson County,Tennessee,8.1,0.4031
48001,Anderson County,Texas,8.1,0.8634
48181,Grayson County,Texas,8.1,0.7666
48183,Gregg County,Texas,8.1,0.9051
48185,Grimes County,Texas,8.1,0.894
48281,Lampasas County,Texas,8.1,0.6329
48287,Lee County,Texas,8.1,0.8583
48325,Medina County,Texas,8.1,0.8978
48367,Parker County,Texas,8.1,0.6367
48405,San Augustine County,Texas,8.1,0.6574
48477,Washington County,Texas,8.1,0.8494
51011,Appomattox County,Virginia,8.1,0.4152
51085,Hanover County,Virginia,8.1,0.4228
53001,Adams County,Washington,8.1,0.9869
53069,Wahkiakum County,Washington,8.1,0.382
55031,Douglas County,Wisconsin,8.1,0.1964
55121,Trempealeau County,Wisconsin,8.1,0.5657
02070,Dillingham Census Area,Alaska,8.2,0.8045
02122,Kenai Peninsula Borough,Alaska,8.2,0.4588
02170,Matanuska-Susitna Borough,Alaska,8.2,0.582
05067,Jackson County,Arkansas,8.2,0.2865
05095,Monroe County,Arkansas,8.2,0.4706
06033,Lake County,California,8.2,0.8319
06053,Monterey County,California,8.2,0.993
08109,Saguache County,Colorado,8.2,0.9153
13043,Candler County,Georgia,8.2,0.7542
13159,Jasper County,Georgia,8.2,0.5759
13165,Jenkins County,Georgia,8.2,0.8953
13229,Pierce County,Georgia,8.2,0.5145
17085,Jo Daviess County,Illinois,8.2,0.2633
18129,Posey County,Indiana,8.2,0.0175
19013,Black Hawk County,Iowa,8.2,0.6616
19021,Buena Vista County,Iowa,8.2,0.9312
19113,Linn County,Iowa,8.2,0.5209
